Matériaux,Score,Malus
Acier,76,-2
Aluminium (lourd > 60mm),72,-3
Aluminium (léger < 60mm),36,-6
Verre,81,-2
Brique (type Tetra Pak) standard,62,-4
Brique (type Tetra Pak) biosourcé,66,-3
Multicouches ,0,-10
Carton standard,92,-1
Papier standard,92,-1
Carton FSC,95,0
Papier FSC,95,0
Carton 100% recyclé,100,0
Papier 100% recyclé,100,0
Bois,50,-5
Liège,50,-5
Cire,25,-8
Céramique,0,-10
Bouteille PET transparente,63,-4
Bouteille PET coloré ou opaque,50,-5
Bouteille PET biosourcé,75,-3
Bouteille 100% rPET transparente,100,0
PET,21,-8
PET biosourcé,46,-5
Bouteille PEHD,50,-5
Bouchon PEHD,50,-5
PEHD,21,-8
PEHD biosourcé,46,-5
PVC,0,-10
PEBD,21,-8
PP,21,-8
PLA,25,-8
PS,0,-10
Autre plastique,0,-10
