Format,Ratio
Barquette,1
Boite,1
Bouteille,1
Brique,1
Canette,1
Conserve,1
Pot,1
Pots individuels,1
Tube,1
Sachet,1
Gourdes individuelles,1
Berlingot,1
Cagette,1
Sachets individuels,1
Etui,1
Support,1
Couverts,1
Pailles,1
Capsule café,3
Couvercle,"0,2"
Bouchon,"0,1"
Capsule,"0,1"
Feuille,"0,1"
Filet,"0,1"
Film,"0,1"
Film de regroupement,"0,1"
Opercule,"0,1"
Bâtonnet,"0,1"
Attache,"0,1"
# Lines below are not in the Eco-Score file, but they are used for many products
# so we assign the ratio for the closest component
Vrac,0
Gobelet,1
Caisse,1
Lien,"0,1"
Moule,1
Flacon,1
Collier,"0,1"
Collerette,"0,1"
Enveloppe,"0,1"
Ficelle,"0,1"
Housse,1
Seau,1
Terrine,1
Cartouche,1
Paquet,1
Emballage,1
Bidon,1
