AGO	#N/A
BLZ	0,00
BOL	0,00
BRA	5,55
CAF	0,00
CIV	82,22
CMR	0,09
COD	0,03
COG	0,12
COL	0,24
COM	0,00
CRI	2,34
CUB	0,26
DMA	3,35
DOM	45,67
ECU	0,39
FJI	0,00
GAB	332,13
GHA	1 741,14
GIN	0,01
GNQ	0,65
GRD	0,25
GTM	0,00
GUY	0,00
HND	732,41
HTI	0,28
IDN	38,61
Inconnu	
IND	0,00
JAM	0,05
LBR	113,14
LCA	0,00
LKA	0,02
MDG	46,83
MEX	0,01
MYS	13,32
NGA	3,53
NIC	0,00
	
PAN	0,44
PER	8,55
PHL	0,00
PNG	4,42
SLB	0,02
SLE	67,97
SLV	0,00
STP	0,00
SUR	0,00
TGO	1 426,88
THA	0,00
TLS	0,00
TLS	
TTO	1,29
TZA	4,00
UGA	0,31
VCT	0,00
VEN	0,00
VNM	73,89
VUT	1,17
WSM	0,00
other	1500
